,county,inmate_num,non_inmate_num,month,2020
30,Placer,100.0,22.0,5,0
31,Plumas,-0.0,0.0,5,0
32,Riverside,475.0,832.0,5,0
33,Sacramento,-0.0,0.0,5,0
34,San Benito,-0.0,26.0,5,0
35,San Bernardino,81.0,-0.0,5,0
36,San Diego,420.0,560.0,5,0
37,San Joaquin,-0.0,81.0,5,0
38,San Luis Obispo,100.0,357.0,5,0
39,San Mateo,-0.0,0.0,5,0
40,Santa Barbara,-0.0,625.0,5,0
41,Santa Clara,-0.0,163.0,5,0
42,Santa Cruz,0.0,0.0,5,0
43,Shasta,100.0,104.0,5,0
44,Sierra,-0.0,45.0,5,0
45,Siskiyou,80.0,26.0,5,0
46,Solano,0.0,0.0,5,0
47,Sonoma,-0.0,163.0,5,0
48,Stanislaus,-0.0,163.0,5,0
49,Sutter,-0.0,0.0,5,0
50,Tehama,220.0,142.0,5,0
51,Trinity,0.0,0.0,5,0
52,Tulare,180.0,24.0,5,0
53,Tuolumne,40.0,-0.0,5,0
54,Ventura,100.0,145.0,5,0
55,Yolo,-0.0,122.0,5,0
56,Yuba,-0.0,0.0,5,0
0,Alameda,-0.0,204.0,5,1
1,Alpine,-0.0,0.0,5,1
2,Amador,0.0,0.0,5,1
3,Butte,-0.0,367.0,5,1
4,Calaveras,48.0,33.0,5,1
5,Colusa,0.0,0.0,5,1
6,Contra Costa,-0.0,40.0,5,1
7,Del Norte,0.0,0.0,5,1
8,El Dorado,40.0,-0.0,5,1
9,Fresno,48.0,605.0,5,1
10,Glenn,47.0,75.0,5,1
11,Humboldt,0.0,0.0,5,1
12,Imperial,-0.0,0.0,5,1
13,Inyo,0.0,0.0,5,1
14,Kern,-0.0,817.0,5,1
15,Kings,-0.0,204.0,5,1
16,Lake,50.0,31.0,5,1
17,Lassen,0.0,0.0,5,1
18,Los Angeles,262.0,432.0,5,1
19,Madera,-0.0,119.0,5,1
20,Marin,-0.0,0.0,5,1
21,Mariposa,50.0,8.0,5,1
22,Mendocino,0.0,0.0,5,1
23,Merced,-0.0,255.0,5,1
24,Modoc,0.0,0.0,5,1
25,Mono,0.0,0.0,5,1
